prix,ville,chambres,salledebain,secteur,salons,etage,surface,prix_m2
850000.0,Casablanca,2.0,1.0,ain borja,1.0,2.0,76.0,11184.21052631579
540000.0,Martil,2.0,2.0,toute la ville,1.0,1.0,60.0,9000.0
8000.0,Fès,3.0,2.0,hay saada,1.0,1.0,107.0,74.76635514018692
640000.0,Mohammedia,3.0,1.0,hay al falah,1.0,2.0,85.0,7529.411764705882
880000.0,Casablanca,2.0,2.0,ain chock,2.0,3.0,101.0,8712.871287128713
470000.0,Berrechid,2.0,1.0,toute la ville,1.0,1.0,80.0,5875.0
800000.0,Casablanca,3.0,2.0,casablanca finance city,2.0,1.0,84.0,9523.809523809523
580000.0,Kénitra,2.0,1.0,village,1.0,4.0,100.0,5800.0
2600000.0,Tanger,3.0,2.0,jbel kbir,1.0,1.0,128.0,20312.5
640000.0,Mohammedia,3.0,1.0,hay al falah,1.0,2.0,85.0,7529.411764705882
880000.0,Casablanca,2.0,2.0,ain chock,2.0,3.0,101.0,8712.871287128713
470000.0,Berrechid,2.0,1.0,toute la ville,1.0,1.0,80.0,5875.0
800000.0,Casablanca,3.0,2.0,casablanca finance city,2.0,1.0,84.0,9523.809523809523
580000.0,Kénitra,2.0,1.0,village,1.0,4.0,100.0,5800.0
1600000.0,Dar Bouazza,2.0,2.0,toute la ville,1.0,1.0,98.0,16326.530612244898
2500000.0,Casablanca,3.0,3.0,californie,3.0,3.0,190.0,13157.894736842105
680000.0,Skhirat,2.0,1.0,autre secteur,1.0,2.0,64.0,10625.0
390000.0,Berrechid,2.0,1.0,toute la ville,1.0,1.0,60.0,6500.0
1800000.0,Marrakech,2.0,2.0,gueliz,1.0,1.0,159.0,11320.754716981131
1180000.0,El Jadida,2.0,2.0,biranzarane,2.0,4.0,113.0,10442.477876106195
420000.0,Martil,2.0,1.0,toute la ville,1.0,1.0,55.0,7636.363636363636
540000.0,Martil,2.0,1.0,toute la ville,1.0,1.0,65.0,8307.692307692309
500000.0,Kénitra,2.0,2.0,autre secteur,2.0,1.0,75.0,6666.666666666667
12500.0,Casablanca,3.0,1.0,ain chock,1.0,2.0,116.0,107.75862068965517
840000.0,Marrakech,1.0,2.0,gueliz,1.0,2.0,56.0,15000.0
580000.0,Kénitra,2.0,1.0,el haddada,1.0,2.0,82.0,7073.170731707317
840000.0,Bouskoura,2.0,2.0,bouskoura centre,1.0,1.0,86.0,9767.441860465116
780000.0,Berkane,3.0,1.0,toute la ville,0.0,3.0,75.0,10400.0
800000.0,Marrakech,3.0,2.0,m'hamid,2.0,1.0,146.0,5479.45205479452
410000.0,Casablanca,2.0,1.0,nassim,1.0,3.0,60.0,6833.333333333333
340000.0,Casablanca,3.0,2.0,errahma,1.0,2.0,63.0,5396.825396825397
1115500.0,Marrakech,2.0,1.0,av abdelkrim el khattabi,1.0,2.0,97.0,11500.0
410000.0,Casablanca,2.0,1.0,nassim,1.0,3.0,60.0,6833.333333333333
340000.0,Casablanca,3.0,2.0,errahma,1.0,2.0,63.0,5396.825396825397
1115500.0,Marrakech,2.0,1.0,av abdelkrim el khattabi,1.0,2.0,97.0,11500.0
960000.0,Casablanca,2.0,1.0,californie,2.0,1.0,97.0,9896.907216494845
3000000.0,Marrakech,3.0,2.0,hivernage,1.0,1.0,153.0,19607.843137254902
480000.0,Martil,2.0,1.0,toute la ville,1.0,1.0,60.0,8000.0
430000.0,Kénitra,2.0,0.0,taibia,0.0,1.0,85.0,5058.823529411765
540000.0,Martil,2.0,2.0,toute la ville,1.0,1.0,63.0,8571.42857142857
3200000.0,Casablanca,3.0,2.0,californie,2.0,3.0,208.0,15384.615384615385
340000.0,Casablanca,2.0,1.0,oulfa,1.0,1.0,60.0,5666.666666666667
1350000.0,Marrakech,2.0,2.0,route de casablanca,1.0,3.0,87.0,15517.241379310344
1300000.0,Fès,3.0,2.0,centre,2.0,1.0,197.0,6598.984771573604
850000.0,Casablanca,2.0,1.0,californie,1.0,1.0,78.0,10897.435897435897
400000.0,Marrakech,2.0,1.0,azzouzia,1.0,3.0,60.0,6666.666666666667
960000.0,Casablanca,2.0,2.0,palmier,2.0,4.0,87.0,11034.48275862069
340000.0,Meknès,3.0,2.0,autre secteur,1.0,2.0,86.0,3953.4883720930234
345000.0,Tanger,2.0,1.0,achakar,1.0,1.0,60.0,5750.0
800000.0,Meknès,2.0,1.0,hamria,1.0,2.0,171.0,4678.362573099415
1450000.0,Martil,2.0,2.0,toute la ville,1.0,3.0,116.0,12500.0
590000.0,Martil,2.0,1.0,toute la ville,1.0,2.0,65.0,9076.923076923076
1450000.0,Martil,2.0,2.0,toute la ville,1.0,3.0,116.0,12500.0
621000.0,Marrakech,1.0,1.0,hay izdihar,1.0,1.0,69.0,9000.0
800000.0,الدار البيضاء,3.0,2.0,hay hassani,2.0,3.0,84.0,9523.809523809523
860000.0,Casablanca,1.0,1.0,2 mars,1.0,3.0,43.0,20000.0
460000.0,Martil,2.0,1.0,toute la ville,1.0,1.0,66.0,6969.69696969697
690000.0,Marrakech,1.0,1.0,av abdelkrim el khattabi,1.0,2.0,59.0,11694.915254237289
